,red,blue,orange,green
structural constituent of cytoskeleton,1.0,,,
SMAD binding,1.0,,,
protein tyrosine kinase activity,2.0,,,3.0
serine-tRNA ligase activity,1.0,1.0,,
GMP binding,1.0,,,
helicase activity,1.0,3.0,,
solute:proton antiporter activity,1.0,,,
guanyl-nucleotide exchange factor activity,2.0,3.0,1.0,21.0
methyltransferase activity,1.0,,,1.0
N-acetyltransferase activity,1.0,,,1.0
transferring acyl groups other than amino-acyl groups,1.0,,,
nuclease activity,1.0,,,
thymidine kinase activity,1.0,,,
FAD binding,1.0,,,
AP-1 adaptor complex binding,2.0,,,
AP-3 adaptor complex binding,2.0,,,
BLOC-2 complex binding,2.0,,,
identical protein binding,2.0,,,
phosphatase activity,1.0,,,
nucleosome-dependent ATPase activity,,1.0,,
structural constituent of nuclear pore,,1.0,,
dolichol kinase activity,,1.0,,
nucleic acid binding,,3.0,3.0,1.0
"homogentisate 1,2-dioxygenase activity",,1.0,,
"N,N-dimethylaniline monooxygenase activity",,1.0,,
NADP binding,,1.0,,
calcium channel regulator activity,,13.0,,8.0
dioxygenase activity,,1.0,1.0,
calmodulin binding,,7.0,,1.0
ubiquitin protein ligase activity,,1.0,1.0,
iron ion binding,,1.0,1.0,2.0
tyrosine 3-monooxygenase activity,,1.0,,
phosphatidylinositol binding,,1.0,,
magnesium ion binding,,2.0,,1.0
phospholipase binding,,1.0,,
"GDP-mannose 4,6-dehydratase activity",,1.0,,
CTP binding,,7.0,,
UTP binding,,7.0,,
chromatin binding,,2.0,,
semaphorin receptor binding,,2.0,,
phosphoprotein phosphatase activity,,1.0,,1.0
DNA primase activity,,1.0,,
MAP kinase kinase activity,,1.0,,
protein serine/threonine kinase activator activity,,1.0,1.0,
adenylate cyclase activator activity,,2.0,,
guanylate cyclase activator activity,,3.0,,
phosphatidylinositol 3-kinase binding,,2.0,,
TORC2 complex binding,,1.0,,
ATPase activity,,1.0,1.0,2.0
unfolded protein binding,,1.0,,
acting on paired donors,,,1.0,1.0
with incorporation or reduction of molecular oxygen,,,1.0,1.0
cysteine-type endopeptidase activity,,,3.0,1.0
signaling adaptor activity,,,2.0,
"GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity",,,1.0,
"GDP-Man:Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase activity",,,1.0,
protein N-terminus binding,,,1.0,
G-protein beta-subunit binding,,,8.0,
3'-5' exonuclease activity,,,1.0,
mRNA guanylyltransferase activity,,,1.0,
polynucleotide 5'-phosphatase activity,,,1.0,
L-serine ammonia-lyase activity,,,1.0,
enzyme binding,,,1.0,
2 iron,,,1.0,
2 sulfur cluster binding,,,1.0,
ubiquinol-cytochrome-c reductase activity,,,1.0,
carboxylic ester hydrolase activity,,,1.0,
S-formylglutathione hydrolase activity,,,1.0,
protein serine/threonine kinase activity,,,1.0,3.0
protein domain specific binding,,,3.0,
sequence-specific DNA binding,,,1.0,
pseudouridine synthase activity,,,1.0,
aspartyltransferase activity,,,,1.0
phosphotyrosine residue binding,,,,1.0
endopeptidase inhibitor activity,,,,1.0
NAD+ kinase activity,,,,1.0
protein transmembrane transporter activity,,,,1.0
G-quadruplex RNA binding,,,,1.0
protein-disulfide reductase (glutathione) activity,,,,1.0
sodium channel activity,,,,1.0
phospholipase A2 activity,,,,1.0
protein disulfide isomerase activity,,,,1.0
kinase activity,,,,1.0
motor activity,,,,2.0
phosphatidylinositol phosphate kinase activity,,,,1.0
inositol oxygenase activity,,,,1.0
ribonuclease T2 activity,,,,1.0
structural molecule activity,,,,1.0
S-adenosylmethionine-dependent methyltransferase activity,,,,1.0
selenocysteine insertion sequence binding,,,,1.0
malate dehydrogenase (decarboxylating) (NAD+) activity,,,,3.0
NAD binding,,,,3.0
toxin activity,,,,2.0
polyubiquitin modification-dependent protein binding,,,,1.0
rRNA N-glycosylase activity,,,,2.0
phosphatidylinositol 3-kinase regulator activity,,,,1.0
protein kinase activator activity,,,,1.0
carbonate dehydratase activity,,,,1.0
glucose-6-phosphate isomerase activity,,,,1.0
O-acyltransferase activity,,,,1.0
phospholipid binding,,,,2.0
protein serine phosphatase activity,,,,1.0
protein threonine phosphatase activity,,,,1.0
phosphoric diester hydrolase activity,,,,1.0
dynein heavy chain binding,,,,2.0
orotidine-5'-phosphate decarboxylase activity,,,,1.0
ribonucleoside-diphosphate reductase activity,,,,1.0
thioredoxin disulfide as acceptor,,,,1.0
extracellular ligand-gated ion channel activity,,,,1.0
transmembrane signaling receptor activity,,,,1.0
G protein-coupled receptor activity,,,,1.0
U1 snRNA binding,,,,1.0
