Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
A0A0C3S1Y4,56,,Homeobox domain-containing protein,Phlebiopsis gigantea 11061_1 CR5-6,745531,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0C3G748,51,,Homeobox domain-containing protein,Piloderma croceum (strain F 1598),765440,DNA binding,nan,Nucleus
A0A1R1PL50,57,,Homeobox protein HD-10,Zancudomyces culisetae (Gut fungus) (Smittium culisetae),1213189,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2T9YCN8,57,,Homeobox domain-containing protein,Furculomyces boomerangus,61424,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G5B4L6,56,,Homeodomain-like protein,Coemansia reversa (strain ATCC 12441 / NRRL 1564),763665,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A137NUZ5,56,,Homeobox-domain-containing protein,Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638) (Delacroixia coronata),796925,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0C3KBT2,57,,Homeobox domain-containing protein,Tulasnella calospora MUT 4182,1051891,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0C3QT00,56,,Homeobox domain-containing protein,Tulasnella calospora MUT 4182,1051891,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0K6GAI6,56,,Homeobox domain-containing protein,Rhizoctonia solani,456999,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2T9Z0M6,56,,Homeobox domain-containing protein,Furculomyces boomerangus,61424,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A137NUM5,56,,Homeodomain-like protein,Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638) (Delacroixia coronata),796925,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4S4LUR0,54,,Homeobox domain-containing protein,Bondarzewia mesenterica,1095465,DNA binding,nan,Nucleus
L2GN12,57,19882036,Homeobox domain-containing protein,Vittaforma corneae (strain ATCC 50505) (Microsporidian parasite) (Nosema corneum),993615,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1W0E927,57,,HD-10,Enterocytozoon hepatopenaei,646526,DNA binding,nan,Nucleus
A0A1Y1S7W0,56,,HD10,Enterospora canceri,1081671,DNA binding,nan,Nucleus
A0A168QBV9,57,,Homeobox domain-containing protein,Absidia glauca (Pin mould),4829,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A168RLQ1,57,,Homeobox domain-containing protein,Absidia glauca (Pin mould),4829,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4Q0A0Q0,57,,Homeobox domain-containing protein,Dimargaris cristalligena,215637,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G5BKL1,57,,Homeobox,Coemansia reversa (strain ATCC 12441 / NRRL 1564),763665,DNA binding,nan,Nucleus
A0A2T9XYM9,57,,Homeobox domain-containing protein,Furculomyces boomerangus,61424,DNA binding,nan,Nucleus
A0A261Y2M2,57,,Homeobox domain-containing protein,Bifiguratus adelaidae,1938954,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A433PH59,57,,Homeobox domain-containing protein,Endogone sp. FLAS-F59071,2340872,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A261Y2P2,57,,Homeobox domain-containing protein,Bifiguratus adelaidae,1938954,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1VJH0,57,,Homeodomain-like protein,Piromyces finnis,1754191,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1VNK3,57,,Homeobox-domain-containing protein,Piromyces finnis,1754191,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1WU24,57,,Homeobox,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1Y3P6,57,,Homeobox,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1YJL5,57,,Homeobox,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1YMZ2,57,,Homeobox,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1XTL4,57,,Homeobox domain-containing protein,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2H9TGD3,57,,Homeobox domain-containing protein,Paramicrosporidium saccamoebae,1246581,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
L8H1X1,47,14920389,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,DNA binding,nan,Nucleus
L8H802,58,14922269,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
L8HA67,57,14922486,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
L8H8U3,57,14922532,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
L8GZT7,57,14919284,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
L8GGA5,56,14912376,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
L8HCI5,57,14923873,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
L8GKM4,57,14914011,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,DNA binding,nan,Nucleus
A0A0C3SEV4,57,,Homeobox domain-containing protein,Phlebiopsis gigantea 11061_1 CR5-6,745531,DNA binding,nan,Nucleus
A0A0C3G106,57,,Homeobox domain-containing protein,Piloderma croceum (strain F 1598),765440,DNA binding,nan,Nucleus
A0A0C9SR86,57,,"Unplaced genomic scaffold PLICRscaffold_18, whole genome shotgun sequence",Plicaturopsis crispa FD-325 SS-3,944288,DNA binding,nan,Nucleus
A0A4S8MJZ8,57,,Homeobox domain-containing protein,Dendrothele bispora (strain CBS 962.96),1314807,DNA binding,nan,Nucleus
J4H4B4,57,24099610,Homeobox domain-containing protein,Fibroporia radiculosa,599839,DNA binding,nan,Nucleus
A0A067MJX4,57,,Homeobox domain-containing protein,Botryobasidium botryosum FD-172 SS1,930990,DNA binding,nan,Nucleus
A0A0C3LJJ1,47,,Homeobox domain-containing protein,Tulasnella calospora MUT 4182,1051891,DNA binding,nan,Nucleus
A0A5C3Q6Y1,58,,Homeobox domain-containing protein,Pterula gracilis,1884261,DNA binding,nan,Nucleus
A0A2A9NGG9,57,,Homeobox domain-containing protein,Amanita thiersii Skay4041,703135,DNA binding,nan,Nucleus
G4TNH2,58,,Related to homeodomain transcription factor-Laccaria bicolor,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443,DNA binding,nan,Nucleus
D8Q507,52,9596315,Homeobox domain-containing protein,Schizophyllum commune (strain H4-8 / FGSC 9210) (Split gill fungus),578458,DNA binding,nan,Nucleus
A8P4I9,58,6015351,Homeobox domain-containing protein,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata),240176,DNA binding,nan,Nucleus
L8H3F0,56,14920017,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
L8GT52,56,14915886,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,DNA binding,nan,Nucleus
L8GXK9,52,14918182,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
L8HD77,56,14923284,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
U5H6U6,57,,Homeobox domain-containing protein,Microbotryum lychnidis-dioicae (strain p1A1 Lamole / MvSl-1064) (Anther smut fungus),683840,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4T0FD05,58,,Homeobox domain-containing protein,Wallemia hederae,1540922,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, pyrimidine nucleotide-sugar transmembrane transporter activity",nan,"Golgi apparatus, Nucleus, Other locations"
M5G6V7,57,,Homeobox-domain-containing protein,Dacryopinax primogenitus (strain DJM 731) (Brown rot fungus),1858805,DNA binding,nan,Nucleus
P34161,58,854981,Homeobox protein YOX1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding, sequence-specific DNA binding","cell differentiation, negative regulation of transcription involved in G1/S transition of mitotic cell cycle, regulation of transcription by RNA polymerase II","Nucleus, Other locations"
A0A1D2VLN4,58,30962568,Homeobox domain-containing protein,Ascoidea rubescens DSM 1968,1344418,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0D2AAG4,58,27313284,Homeobox domain-containing protein,Verruconis gallopava,253628,DNA binding,nan,Nucleus
D4B017,51,9519519,"Homeobox transcription factor, putative",Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes),663331,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A168BQV4,46,,Homeobox transcription factor,Ascosphaera apis ARSEF 7405,392613,DNA binding,nan,Nucleus
H0EX25,46,,Putative Homeobox-leucine zipper protein ROC5,Glarea lozoyensis (strain ATCC 74030 / MF5533),1104152,DNA binding,nan,Nucleus
A0A1Y1Y4S3,58,,Homeobox-domain-containing protein,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1Z518,58,,Homeodomain-like protein,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1XZ59,57,,Homeobox domain-containing protein,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1XXP6,57,,Homeodomain-like protein,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A261Y4R6,58,,Uncharacterized protein,Bifiguratus adelaidae,1938954,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA binding","mRNA processing, RNA splicing",Nucleus
A0A316UU87,58,,Homeobox domain-containing protein,Jaminaea rosea,1569628,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2N1JBQ7,67,,Homeobox domain-containing protein,Malassezia vespertilionis,2020962,DNA binding,nan,Nucleus
A0A0D1D013,57,23566159,"Chromosome 1, whole genome shotgun sequence",Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus),237631,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","cell differentiation, regulation of transcription by RNA polymerase II",Nucleus
A0A433P7D5,55,,Homeobox domain-containing protein,Endogone sp. FLAS-F59071,2340872,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
R1BZI1,57,17261351,Homeobox domain-containing protein,Emiliania huxleyi (Pontosphaera huxleyi),2903,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0M0JQL4,57,,Homeobox domain-containing protein,Chrysochromulina tobinii,1460289,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, protein kinase binding",regulation of cyclin-dependent protein serine/threonine kinase activity,Nucleus
A0A4Q9LJI4,58,,Homeobox domain-containing protein,Hamiltosporidium magnivora,148818,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A177EI84,58,,Homeobox domain-containing protein,Nematocida displodere,1805483,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A316UN59,58,,Homeobox domain-containing protein,Jaminaea rosea,1569628,DNA binding,nan,Nucleus
A0A1Y2I117,52,,OTP-paired class homeobox protein,Catenaria anguillulae PL171,765915,DNA binding,nan,Nucleus
J9DC44,57,,Homeobox domain-containing protein,Edhazardia aedis (strain USNM 41457) (Microsporidian parasite),1003232,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
L2GLV9,57,19881899,Homeobox domain-containing protein,Vittaforma corneae (strain ATCC 50505) (Microsporidian parasite) (Nosema corneum),993615,DNA binding,nan,Nucleus
A0A0R0M096,57,,"Putative Homeodomain-like, Homeodomain-related, Homeobox protein",Pseudoloma neurophilia,146866,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q8SVD3,56,859230,Homeobox protein HD-3,Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite),284813,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q5KDM4,54,3258758,"Specific transcriptional repressor, putative",Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans),214684,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A2G5BB11,56,,Homeodomain-like protein,Coemansia reversa (strain ATCC 12441 / NRRL 1564),763665,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A060SDT0,58,,Homeobox domain-containing protein,Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina),5643,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0H2RYN1,58,,Homeobox-domain-containing protein,Schizopora paradoxa,27342,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4S4LRQ1,58,,Homeobox domain-containing protein,Bondarzewia mesenterica,1095465,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
K5XCA1,58,18823652,Homeobox domain-containing protein,Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392) (White button mushroom),597362,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4S8M054,58,,Homeobox-domain-containing protein,Dendrothele bispora (strain CBS 962.96),1314807,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0C2WLU2,58,,Homeobox domain-containing protein,Amanita muscaria Koide BX008,946122,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A5C3QKC0,58,,Homeobox domain-containing protein,Pterula gracilis,1884261,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A165A3F3,58,,Homeobox-domain-containing protein,Sistotremastrum niveocremeum HHB9708,1314777,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0C3G6H2,58,,Homeobox domain-containing protein,Piloderma croceum (strain F 1598),765440,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
D8Q902,57,9588034,Homeobox domain-containing protein,Schizophyllum commune (strain H4-8 / FGSC 9210) (Split gill fungus),578458,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0D7A130,57,,Homeobox-domain-containing protein,Fistulina hepatica ATCC 64428,1128425,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A165EZM6,48,,Homeobox domain-containing protein,Exidia glandulosa HHB12029,1314781,DNA binding,nan,Nucleus
A0A0C3L6U2,56,,Homeobox domain-containing protein,Tulasnella calospora MUT 4182,1051891,DNA binding,nan,Nucleus
A0A067N0Q6,57,,Homeobox domain-containing protein,Botryobasidium botryosum FD-172 SS1,930990,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
