Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
T1GU88,117,,Uncharacterized protein,Megaselia scalaris (Humpbacked fly) (Phora scalaris),36166,"GTPase activity, GTP binding",nan,nan
A0A2G9REP9,118,,Uncharacterized protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"GTPase activity, GTP binding",nan,nan
A0A316WGB4,118,,Uncharacterized protein,Ceraceosorus guamensis,1522189,"GTPase activity, GTP binding",nan,nan
A0A6A5C1L7,118,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,nan
G7DW37,118,26267718,Uncharacterized protein,Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970),764103,"GTPase activity, GTP binding",vacuole organization,nan
A0A0B1TIG1,119,,Ras family protein,Oesophagostomum dentatum (Nodular worm),61180,"GTPase activity, GTP binding",nan,nan
A0A2C6KB94,119,,Rab18-family small gtpase,Cystoisospora suis,483139,"GTPase activity, GTP binding",nan,nan
A0A2G9RCS3,119,,Uncharacterized protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"GTPase activity, GTP binding",nan,nan
E4XNL7,119,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"GTPase activity, GTP binding",nan,nan
F0VA21,119,13441543,Putative Rab 11b,Neospora caninum (strain Liverpool),572307,"GTPase activity, GTP binding",nan,nan
G0R4Z9,119,14903526,"Ras family protein, putative",Ichthyophthirius multifiliis (strain G5) (White spot disease agent) (Ich),857967,"GTPase activity, GTP binding",nan,nan
H9IY70,119,,Uncharacterized protein,Bombyx mori (Silk moth),7091,"GTPase activity, GTP binding",nan,nan
A0A3M0JK87,120,,Uncharacterized protein,Hirundo rustica rustica,333673,"GTPase activity, GTP binding",nan,nan
A0A4S2LJL9,120,,Uncharacterized protein,Opisthorchis felineus,147828,"GTPase activity, GTP binding",nan,nan
D7FME1,120,,"Rab8B, RAB family GTPase",Ectocarpus siliculosus (Brown alga) (Conferva siliculosa),2880,"GTPase activity, GTP binding",nan,nan
A0A0C3G7S9,121,,Uncharacterized protein,Piloderma croceum (strain F 1598),765440,"GTPase activity, GTP binding",nan,nan
A0A0M3K5H8,121,,Ras-related protein Rab-25 (inferred by orthology to a human protein),Anisakis simplex (Herring worm),6269,"GTPase activity, GTP binding",nan,nan
A0A2G8KI46,121,,Putative ras-related protein,Stichopus japonicus (Sea cucumber),307972,"GTPase activity, GTP binding",nan,nan
A0A2T7PF77,121,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",nan,nan
A0A4S4LZE4,121,,Uncharacterized protein,Bondarzewia mesenterica,1095465,"GTPase activity, GTP binding",nan,nan
A0A6G0V0K9,121,,Protein kinase domain-containing protein,Halicephalobus sp. NKZ332,2598192,"ATP binding, GTPase activity, GTP binding, protein kinase activity",nan,nan
B7PAF7,121,8026964,Uncharacterized protein,Ixodes scapularis (Black-legged tick) (Deer tick),6945,"GTPase activity, GTP binding",nan,"Endosome, Golgi apparatus"
D8LEW7,121,,"Rab22, RAB family GTPase",Ectocarpus siliculosus (Brown alga) (Conferva siliculosa),2880,"GTPase activity, GTP binding",nan,nan
M0SW46,121,,Uncharacterized protein,Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis),214687,"GTPase activity, GTP binding",intracellular protein transport,Other locations
A0A0F4ZA56,122,,Uncharacterized protein,Thielaviopsis punctulata,72032,"GTPase activity, GTP binding",nan,nan
A0A137P8M0,122,,Putative ras-related protein rab-2,Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638) (Delacroixia coronata),796925,"GTPase activity, GTP binding",nan,nan
A0A423SW99,122,,Zinc transporter ZIP1,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"GTPase activity, GTP binding, metal ion transmembrane transporter activity",nan,Other locations
A0A4U5LXC0,122,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"GTPase activity, GTP binding",nan,nan
G4T9I9,122,,Related to GTP-binding protein Rab5c,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443,"GTPase activity, GTP binding",nan,nan
M0TUE1,122,,Uncharacterized protein,Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis),214687,"GTPase activity, GTP binding",intracellular protein transport,Other locations
Q4U944,122,3862652,"Rab GTPase, putative",Theileria annulata,5874,"GTPase activity, GTP binding",nan,nan
A0A165QNT9,123,,Ras-domain-containing protein,Exidia glandulosa HHB12029,1314781,"GTPase activity, GTP binding",nan,nan
A0A397VDS1,123,,RAB5A member ras oncogene family,Gigaspora rosea,44941,"GTPase activity, GTP binding",nan,nan
D8M4M6,123,24920091,Uncharacterized protein,Blastocystis hominis,12968,"GTPase activity, GTP binding",nan,nan
S4RZH8,123,,Uncharacterized protein,Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",nan,nan
A0A168SLR3,124,,Uncharacterized protein,Absidia glauca (Pin mould),4829,"GTPase activity, GTP binding",nan,nan
A0A183ECN4,124,,Uncharacterized protein,Gongylonema pulchrum,637853,"GTPase activity, GTP binding",nan,nan
A0A444UL20,124,,Ras-related protein Rab-7a,Acipenser ruthenus (Sterlet sturgeon),7906,"GTPase activity, GTP binding",nan,nan
B7PXW6,124,,"RAS-related protein, putative",Ixodes scapularis (Black-legged tick) (Deer tick),6945,"GTPase activity, GTP binding, sphingomyelin phosphodiesterase activity",intracellular protein transport,Other locations
K1RBB8,124,,Ras-related protein Rab-1A,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"GTPase activity, GTP binding",nan,nan
S4R7S6,124,,"RAB35, member RAS oncogene family b",Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",nan,nan
A0A067MFN2,125,,Uncharacterized protein,Botryobasidium botryosum FD-172 SS1,930990,"GTPase activity, GTP binding",nan,Other locations
A0A0G2L3I9,125,,Uncharacterized protein,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"GTPase activity, GTP binding",nan,"Endosome, Golgi apparatus"
A0A0L0GCQ0,125,25901702,Rab family protein,Sphaeroforma arctica JP610,667725,"GTPase activity, GTP binding",nan,nan
A0A1J1IEI7,125,,"CLUMA_CG011551, isoform A",Clunio marinus,568069,"GTPase activity, GTP binding",nan,nan
A0A423TP10,125,,Putative ras-related protein Rab-8A,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"GTPase activity, GTP binding",nan,nan
K1PWR7,125,,Ras-related protein Rab-5B,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"4 iron, 4 sulfur cluster binding, GTPase activity, GTP binding, metal ion binding","DNA replication, synthesis of RNA primer",Other locations
A0A098VU21,126,25258630,Ras-related protein Rab-1A,Mitosporidium daphniae,1485682,"GTPase activity, GTP binding",nan,nan
A0A0M3KBZ6,126,,Ras-related protein Rab-26 (inferred by orthology to a D. melanogaster protein),Anisakis simplex (Herring worm),6269,"GTPase activity, GTP binding",nan,nan
A0A4V1IYF6,126,,P-loop containing nucleoside triphosphate hydrolase protein,Piptocephalis cylindrospora,1907219,"GTPase activity, GTP binding",nan,nan
D8QLW8,126,9588843,Uncharacterized protein,Schizophyllum commune (strain H4-8 / FGSC 9210) (Split gill fungus),578458,"GTPase activity, GTP binding",nan,nan
A0A0C3FF62,127,,Uncharacterized protein,Piloderma croceum (strain F 1598),765440,"GTPase activity, GTP binding",nan,nan
A0A1X7TBA0,127,,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan
A0A4Y9Z880,127,,Uncharacterized protein,Dentipellis fragilis,205917,"GTPase activity, GTP binding, structural constituent of ribosome",translation,Other locations
A0A5N5TGN2,127,,Ras-related protein Rab-5B,Armadillidium nasatum,96803,"GTPase activity, GTP binding",nan,nan
A0A5P1E2A2,127,,Uncharacterized protein,Asparagus officinalis (Garden asparagus),4686,"GTPase activity, GTP binding",nan,nan
G0QN99,127,14909483,"Ras small monomeric gtpase, putative",Ichthyophthirius multifiliis (strain G5) (White spot disease agent) (Ich),857967,"GTPase activity, GTP binding",nan,nan
I1MJT9,127,,Uncharacterized protein,Glycine max (Soybean) (Glycine hispida),3847,"GTPase activity, GTP binding",nan,nan
A0A0D8XZQ2,128,,Ras family protein,Dictyocaulus viviparus (Bovine lungworm),29172,"GTPase activity, GTP binding",nan,nan
A0A1Q3DX36,128,,Ras-like GTP-binding protein RYL2,Lentinula edodes (Shiitake mushroom) (Lentinus edodes),5353,"GTPase activity, GTP binding",nan,nan
A0A1R0H329,128,,GTP-binding protein ypt5,Smittium mucronatum,133383,"GTPase activity, GTP binding",nan,nan
A0A2F0AX31,128,,Ras-related protein Rab-17,Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus),9764,"GTPase activity, GTP binding",nan,nan
A0A2H9TG50,128,,Ras-like protein Rab-8A,Paramicrosporidium saccamoebae,1246581,"GTPase activity, GTP binding",nan,nan
A0A507EXK2,128,,GYF domain-containing protein,Chytriomyces confervae,246404,"GTPase activity, GTP binding",nan,nan
A0A060S339,129,,Uncharacterized protein,Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina),5643,"GTPase activity, GTP binding",nan,nan
A0A0C2XGX5,129,,Uncharacterized protein,Amanita muscaria Koide BX008,946122,"GTPase activity, GTP binding",nan,nan
A0A0C3A2B5,129,,Uncharacterized protein,Scleroderma citrinum Foug A,1036808,"GTPase activity, GTP binding",nan,nan
A0A0C3SEF2,129,,Uncharacterized protein,Phlebiopsis gigantea 11061_1 CR5-6,745531,"GTPase activity, GTP binding",nan,nan
A0A0D7A4H7,129,,Ras-domain-containing protein,Fistulina hepatica ATCC 64428,1128425,"GTPase activity, GTP binding",nan,nan
A0A0H2S1P2,129,,Uncharacterized protein,Schizopora paradoxa,27342,"GTPase activity, GTP binding",nan,nan
A0A164ZFN6,129,,Uncharacterized protein,Sistotremastrum niveocremeum HHB9708,1314777,"GTPase activity, GTP binding",nan,nan
A0A2G8JZ34,129,,Putative GTPase-like isoform X1,Stichopus japonicus (Sea cucumber),307972,"GTPase activity, GTP binding",nan,nan
A0A401PTV8,129,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"GTPase activity, GTP binding","Notch signaling pathway, positive regulation of catalytic activity, protein processing",Other locations
A0A4Q2E1J8,129,,Uncharacterized protein,Psathyrella aberdarensis,2316362,"GTPase activity, GTP binding",nan,nan
A0A5B7EQT2,129,,Ras-related protein Rab-39B,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),210409,"GTPase activity, GTP binding",nan,nan
D8PL17,129,9588609,Uncharacterized protein,Schizophyllum commune (strain H4-8 / FGSC 9210) (Split gill fungus),578458,"GTPase activity, GTP binding",nan,nan
K5W0E1,129,18831098,Uncharacterized protein,Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392) (White button mushroom),597362,"GTPase activity, GTP binding",nan,nan
M7C810,129,,Ras-related protein Rab-10,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"GTPase activity, GTP binding",nan,nan
W4Z4D8,129,,Uncharacterized protein,,,nan,nan,nan
A0A0C2WZ48,130,,Uncharacterized protein,Amanita muscaria Koide BX008,946122,"GTPase activity, GTP binding",nan,nan
A0A0G2GTG2,130,,Putative secretion related gtpase,Phaeomoniella chlamydospora,158046,"GTPase activity, GTP binding",nan,nan
A0A0K6GH03,130,,Ras-like GTP-binding protein RYL2 [Yarrowia lipolytica CLIB122],Rhizoctonia solani,456999,"GTPase activity, GTP binding",nan,nan
A0A1V9XLQ4,130,,Ras-related protein Rab-10-like,Tropilaelaps mercedesae,418985,"GTPase activity, GTP binding",nan,Other locations
A0A2K3LIS6,130,,Ras-related protein RABE1c-like,Trifolium pratense (Red clover),57577,"GTPase activity, GTP binding",nan,nan
A0A3P7LSR4,130,,Uncharacterized protein,Strongylus vulgaris (Blood worm),40348,"GTPase activity, GTP binding",nan,nan
A0A3Q0IX62,130,,ras-related protein Rab-5C,Diaphorina citri (Asian citrus psyllid),121845,"GTPase activity, GTP binding",nan,nan
A0A545A6J0,130,,Uncharacterized protein,Golovinomyces magnicellulatus,62714,"GTPase activity, GTP binding",nan,nan
A0A5C3QUE6,130,,P-loop containing nucleoside triphosphate hydrolase protein,Pterula gracilis,1884261,"GTPase activity, GTP binding",nan,nan
C5KJD4,130,9046179,"Rab6, putative",Perkinsus marinus (strain ATCC 50983 / TXsc),423536,"GTPase activity, GTP binding",nan,nan
S4RPZ5,130,,"RAB15, member RAS oncogene family",Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",nan,nan
U7PZ94,130,,Uncharacterized protein,Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus),1391915,"GTPase activity, GTP binding",nan,nan
W4Z3U9,130,,Uncharacterized protein,,,nan,nan,nan
A0A0G2K201,131,,"RAB42, member RAS oncogene family",Rattus norvegicus (Rat),10116,"GTPase activity, GTP binding",nan,Golgi apparatus
A0A0L0FFD6,131,25912481,Uncharacterized protein,Sphaeroforma arctica JP610,667725,"GTPase activity, GTP binding",ion transport,Other locations
A0A0L0FQ74,131,25909144,Ras-like protein Rab-6B,Sphaeroforma arctica JP610,667725,"GTPase activity, GTP binding",nan,nan
A0A1Z5TC07,131,,Uncharacterized protein,Hortaea werneckii EXF-2000,1157616,"GTPase activity, GTP binding",nan,nan
A0A2P8Y072,131,,Putative Ras-related protein Rab-33,Blattella germanica (German cockroach) (Blatta germanica),6973,"GTPase activity, GTP binding",nan,nan
E3KNN3,131,10544490,Rab family protein,Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL) (Black stem rust fungus),418459,"GTPase activity, GTP binding",intracellular protein transport,Other locations
I2K3K6,131,,Gtp-binding protein ryh1,Brettanomyces bruxellensis AWRI1499,1124627,"GTPase activity, GTP binding",nan,nan
U5H0W3,131,,Uncharacterized protein,Microbotryum lychnidis-dioicae (strain p1A1 Lamole / MvSl-1064) (Anther smut fungus),683840,"GTPase activity, GTP binding",nan,nan
A0A090L162,132,,Ras-related protein Rab-14,Strongyloides ratti (Parasitic roundworm),34506,"GTPase activity, GTP binding",nan,nan
A0A0N4VMY3,132,,Uncharacterized protein,Enterobius vermicularis (Human pinworm),51028,"GTPase activity, GTP binding",nan,nan
A0A0S6XD85,132,,Uncharacterized protein,fungal sp. No.11243,1603295,"GTPase activity, GTP binding",nan,nan
A0A177V3N8,132,,Uncharacterized protein,Tilletia walkeri,117179,"GTPase activity, GTP binding",nan,nan
A0A3P7J9B4,132,,Uncharacterized protein,Strongylus vulgaris (Blood worm),40348,"GTPase activity, GTP binding",nan,nan
A9V103,132,5891663,Predicted protein,Monosiga brevicollis (Choanoflagellate),81824,"GTPase activity, GTP binding","intracellular protein transport, intra-Golgi vesicle-mediated transport, retrograde transport, endosome to Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","Cytosol, Golgi apparatus, Other locations"
Q7RVP4,132,3872424,GTP-binding protein ypt4,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),367110,"GTPase activity, GTP binding",nan,Golgi apparatus
R7YIR6,132,19898333,Uncharacterized protein,Coniosporium apollinis (strain CBS 100218) (Rock-inhabiting black yeast),1168221,"GTPase activity, GTP binding",nan,nan
A0A098VU31,133,25258783,Uncharacterized protein,Mitosporidium daphniae,1485682,"GTPase activity, GTP binding","mitotic cytokinesis, positive regulation of ascospore-type prospore membrane formation, positive regulation of exocytosis, protein localization to cell cortex of cell tip, protein localization to meiotic spindle pole body, vacuole fusion, non-autophagic","Cytoskeleton, Plasma Membrane, Other locations"
A0A0C3QP62,133,,Uncharacterized protein,Tulasnella calospora MUT 4182,1051891,"GTPase activity, GTP binding",nan,nan
A0A1D2N479,133,,Ras and EF-hand domain-containing protein,Orchesella cincta (Springtail),48709,"calcium ion binding, GTPase activity, GTP binding",nan,nan
A0A1J4KVR7,133,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan
A0A2G8L4M1,133,,Putative ras-related protein,Stichopus japonicus (Sea cucumber),307972,"GTPase activity, GTP binding",nan,nan
A0A2R8QQ30,133,,Uncharacterized protein,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"GTPase activity, GTP binding",nan,nan
A0A401PC72,133,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"GTPase activity, GTP binding",nan,Other locations
A0A4P9VUD7,133,,Small GTPase superfamily,Blyttiomyces helicus,388810,"GTPase activity, GTP binding",nan,nan
A0A5N5TE58,133,,Ras-related protein Rab-11B,Armadillidium nasatum,96803,"GTPase activity, GTP binding",nan,nan
A0A6G0V6M0,133,,Uncharacterized protein,Halicephalobus sp. NKZ332,2598192,"GTPase activity, GTP binding",nan,nan
F4P908,133,18236783,Uncharacterized protein,Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus),684364,"GTPase activity, GTP binding",nan,Golgi apparatus
M7BFI8,133,,Ras-related protein Rab-17,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"GTPase activity, GTP binding",nan,nan
A0A077ZRH3,134,,Rab gtpase,Stylonychia lemnae (Ciliate),5949,"GTPase activity, GTP binding",nan,nan
A0A1E3PMA4,134,,Uncharacterized protein,Nadsonia fulvescens var. elongata DSM 6958,857566,"GTPase activity, GTP binding",nan,nan
A0A2H9TM11,134,,Small GTP-binding protein domain,Paramicrosporidium saccamoebae,1246581,"GTPase activity, GTP binding",nan,nan
A0A4Z2H3X2,134,,Ras-related protein Rab-27B,Liparis tanakae (Tanaka's snailfish),230148,"GTPase activity, GTP binding",nan,nan
A0A662YKJ3,134,,EF-hand calcium-binding domain-containing protein 4B,Acipenser ruthenus (Sterlet sturgeon),7906,"calcium ion binding, GTPase activity, GTP binding",nan,nan
A2E9D3,134,4768633,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",intracellular protein transport,Other locations
D8LCK0,134,,"Rab11D, RAB family GTPase",Ectocarpus siliculosus (Brown alga) (Conferva siliculosa),2880,"GTPase activity, GTP binding",nan,nan
F9X7A0,134,13395515,Uncharacterized protein,Zymoseptoria tritici (strain CBS 115943 / IPO323) (Speckled leaf blotch fungus) (Septoria tritici),336722,"GTPase activity, GTP binding",nan,nan
Q5KAE3,134,,"GTPase, putative",Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans),214684,"GTPase activity, GTP binding",intracellular protein transport,"Endosome, Plasma Membrane, Other locations"
T1GJ01,134,,Uncharacterized protein,Megaselia scalaris (Humpbacked fly) (Phora scalaris),36166,"GTPase activity, GTP binding",nan,nan
V8NBL6,134,,Ras-related protein Rab-1A,Ophiophagus hannah (King cobra) (Naja hannah),8665,"GTPase activity, GTP binding",nan,nan
A0A058ZBP4,135,20527024,Ras-like protein Rab-11B,Fonticula alba (Slime mold),691883,"GTPase activity, GTP binding",nan,nan
A0A075AT95,135,,DUF155-domain-containing protein,Rozella allomycis (strain CSF55),988480,"GTPase activity, GTP binding",nan,Other locations
A0A158PFG4,135,,Uncharacterized protein,Angiostrongylus costaricensis (Nematode worm),334426,"GTPase activity, GTP binding",nan,nan
A0A1D3D339,135,,Putative RAB6 protein,Cyclospora cayetanensis,88456,"GTPase activity, GTP binding",nan,nan
A0A1E3PMA5,135,,Uncharacterized protein,Nadsonia fulvescens var. elongata DSM 6958,857566,"GTPase activity, GTP binding",nan,nan
A0A4C1TMJ3,135,,Ras-related protein Rab-1A,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"GTPase activity, GTP binding",nan,nan
A0A4Z2JAB8,135,,CD151 antigen,Liparis tanakae (Tanaka's snailfish),230148,"GTPase activity, GTP binding",nan,Other locations
G4MV92,135,2679780,GTP-binding protein ypt3,Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae),242507,"GTPase activity, GTP binding",nan,nan
Q5KAQ0,135,,"Rab family GTP-binding protein, putative",Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans),214684,"GTPase activity, GTP binding",intracellular protein transport,Other locations
T1GWH3,135,,Uncharacterized protein,Megaselia scalaris (Humpbacked fly) (Phora scalaris),36166,"GTPase activity, GTP binding",nan,nan
W4YDV0,135,,Uncharacterized protein,,,nan,nan,nan
A0A075APC4,136,,Small GTPase superfamily domain-containing protein,Rozella allomycis (strain CSF55),988480,"GTPase activity, GTP binding, protein-containing complex binding","endocytosis, macroautophagy, piecemeal microautophagy of the nucleus, protein localization to vacuole, regulation of protein-containing complex assembly, regulation of vacuole fusion, non-autophagic, retrograde transport, endosome to Golgi, vacuole inheritance","Cytosol, Vacuole, Other locations"
A0A0T6B2G3,136,,ADP ribosylation factor,Oryctes borbonicus,1629725,"GTPase activity, GTP binding",nan,nan
A0A0V0R2A4,136,,p-loop containing nucleoside triphosphate hydrolase,Pseudocohnilembus persalinus (Ciliate),266149,"GTPase activity, GTP binding",nan,nan
A0A1V9XLA0,136,,Ras-related protein Rab-8A-like,Tropilaelaps mercedesae,418985,"GTPase activity, GTP binding",nan,nan
A0A316UUV4,136,,Ras-domain-containing protein,Jaminaea rosea,1569628,"GTPase activity, GTP binding",nan,nan
A0A388MFR5,136,,Uncharacterized protein,Chara braunii (Braun's stonewort),69332,"GTPase activity, GTP binding",nan,nan
A0A4Z2INA6,136,,Ras-related protein Rab-22A,Liparis tanakae (Tanaka's snailfish),230148,"GTPase activity, GTP binding",nan,nan
E2LJ46,136,,Uncharacterized protein,Moniliophthora perniciosa (strain FA553 / isolate CP02) (Witches'-broom disease fungus) (Marasmius perniciosus),554373,"GTPase activity, GTP binding",nan,nan
T1G571,136,20216219,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"GTPase activity, GTP binding",nan,nan
W3XEH1,136,19270681,Uncharacterized protein,Pestalotiopsis fici (strain W106-1 / CGMCC3.15140),1229662,"GTPase activity, GTP binding",nan,nan
A0A078AR97,137,,Ras-related protein raba1f-like,Stylonychia lemnae (Ciliate),5949,"GTPase activity, GTP binding",nan,nan
A0A0D1BUD1,137,23566945,"Chromosome 23, whole genome shotgun sequence",Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus),237631,"GTPase activity, GTP binding",intracellular protein transport,Other locations
A0A163JAN1,137,,Uncharacterized protein,Absidia glauca (Pin mould),4829,"GTPase activity, GTP binding",nan,nan
A0A1B8GAT7,137,28842292,Uncharacterized protein,Pseudogymnoascus verrucosus,342668,"GTPase activity, GTP binding",nan,nan
A0A2F0AVM9,137,,Ezrin-radixin-moesin-binding phosphoprotein 50,Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus),9764,"GTPase activity, GTP binding, molecular adaptor activity",nan,Other locations
A0A2T7NK19,137,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",nan,nan
A0A2T7PIV7,137,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",nan,nan
A0A6G1G9K6,137,,Ras-domain-containing protein,Eremomyces bilateralis CBS 781.70,1392243,"GTPase activity, GTP binding",nan,nan
A0A6J8EKA0,137,,RAB3C,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,nan
E4XA97,137,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"GTPase activity, GTP binding",nan,nan
F9X507,137,13400470,Uncharacterized protein,Zymoseptoria tritici (strain CBS 115943 / IPO323) (Speckled leaf blotch fungus) (Septoria tritici),336722,"GTPase activity, GTP binding",nan,nan
G4MTN2,137,2683174,GTP-binding protein ypt4,Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae),242507,"GTPase activity, GTP binding",nan,nan
G7DZJ9,137,26263322,Uncharacterized protein,Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970),764103,"GTPase activity, GTP binding",nan,nan
M0SKH1,137,,Uncharacterized protein,Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis),214687,"GTPase activity, GTP binding",intracellular protein transport,Other locations
M0SKJ3,137,,Uncharacterized protein,Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis),214687,"GTPase activity, GTP binding",nan,Endosome
M0TGI5,137,,Uncharacterized protein,Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis),214687,"GTPase activity, GTP binding",intracellular protein transport,Other locations
M0THL6,137,,Uncharacterized protein,Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis),214687,"GTPase activity, GTP binding",nan,Endosome
Q7S8J6,137,3878051,GTP-binding protein yptV5,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),367110,"GTPase activity, GTP binding",intracellular protein transport,Other locations
T1GHL6,137,,Uncharacterized protein,Megaselia scalaris (Humpbacked fly) (Phora scalaris),36166,"GTPase activity, GTP binding",nan,nan
