Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
X6N1Q7,118,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",signal transduction,Other locations
A0A4C1YYA0,119,,GTP-binding protein Rhes,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"GTPase activity, GTP binding",signal transduction,Other locations
G4TC18,119,,Related to RAS-2 RAS-2 PROTEIN,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
T1GH87,119,,Uncharacterized protein,Megaselia scalaris (Humpbacked fly) (Phora scalaris),36166,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2H9TQB2,120,,Ras-like protein,Paramicrosporidium saccamoebae,1246581,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A5B7F1W9,120,,Ras-like protein 2,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),210409,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2T7PFW0,121,,zf-Sec23_Sec24 domain-containing protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding, zinc ion binding","endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, signal transduction",Other locations
A0A4Q2E0N8,121,,Uncharacterized protein,Psathyrella aberdarensis,2316362,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
T1IYA3,121,,Uncharacterized protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"GTPase activity, GTP binding",signal transduction,Other locations
A0A0D2WUL5,122,14896913,Ras-like protein 2,Capsaspora owczarzaki (strain ATCC 30864),595528,"GTPase activity, GTP binding, zinc ion binding","endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, signal transduction",Other locations
A0A1S3INS3,122,106166000,circularly permutated Ras protein 1-like,Lingula unguis,7574,"GTPase activity, GTP binding, zinc ion binding","endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, signal transduction",Other locations
A0A397ITP6,122,,Uncharacterized protein,Diversispora epigaea,1348612,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A4V6I745,122,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"GTPase activity, GTP binding",signal transduction,Other locations
A0A6J8B527,122,,Uncharacterized protein,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding, zinc ion binding","endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, signal transduction",Other locations
A9UWW2,122,5890201,Predicted protein,Monosiga brevicollis (Choanoflagellate),81824,"GDP binding, GTPase activity, GTP binding",Ras protein signal transduction,Plasma Membrane
L8GHB6,122,14912075,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",signal transduction,Other locations
A0A6H5G693,123,,SNF2_N domain-containing protein,Nesidiocoris tenuis,355587,"ATP binding, DNA binding, GTPase activity, GTP binding, nucleosome-dependent ATPase activity",signal transduction,"Nucleus, Other locations"
L8GU86,123,14916895,"Rasrelated protein O-RAL, putative",Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",signal transduction,Other locations
Q75J93,123,8621003,Circularly permutated Ras protein 1,Dictyostelium discoideum (Slime mold),44689,"GDP binding, GTPase activity, GTP binding, zinc ion binding","endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, Ras protein signal transduction","Plasma Membrane, Other locations"
A0A444UN12,124,,Nuclear pore complex protein,Acipenser ruthenus (Sterlet sturgeon),7906,"G protein activity, GTP binding, structural constituent of nuclear pore","mRNA export from nucleus, protein import into nucleus, signal transduction",Nucleus
A0A507C5S9,124,,Uncharacterized protein,Synchytrium microbalum,1806994,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A6A4WNX4,124,,GTP-binding protein Rhes,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,"GTPase activity, GTP binding",signal transduction,Other locations
A0A165H4D8,126,,Ras-domain-containing protein,Exidia glandulosa HHB12029,1314781,"GTPase activity, GTP binding",signal transduction,"Plasma Membrane, Other locations"
A0A425BLT3,126,,Uncharacterized protein,Scytalidium sp. 3C,2487125,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A6G0UIU8,126,,Uncharacterized protein,Halicephalobus sp. NKZ332,2598192,"GTPase activity, GTP binding",signal transduction,Other locations
A0A016WX95,127,,Uncharacterized protein,Ancylostoma ceylanicum,53326,"GTPase activity, GTP binding",signal transduction,Other locations
X6MBZ3,127,,Ras-related protein R-Ras,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",signal transduction,Other locations
A0A1D2N6L9,128,,Ras-related protein Ral-a,Orchesella cincta (Springtail),48709,"GTPase activity, GTP binding",signal transduction,Other locations
A0A0C3DTN2,129,,Uncharacterized protein,Scleroderma citrinum Foug A,1036808,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A397ICE7,129,,Uncharacterized protein,Diversispora epigaea,1348612,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A397VSM3,129,,P-loop containing nucleoside triphosphate hydrolase protein,Gigaspora rosea,44941,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A5J4NW95,129,,Ras-related protein Rap-2B,Paragonimus westermani,34504,"GTPase activity, GTP binding",signal transduction,Other locations
L8H942,129,14922659,"Raslike protein 1, putative",Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",signal transduction,Other locations
A0A093DKN0,130,,GTP-binding protein GEM,Chaetura pelagica (Chimney swift),8897,"GTPase activity, GTP binding",signal transduction,Other locations
A0A0R3VXG6,130,,Uncharacterized protein,Taenia asiatica (Asian tapeworm),60517,"GTPase activity, GTP binding",signal transduction,Other locations
A9V4F6,130,5892733,Predicted protein,Monosiga brevicollis (Choanoflagellate),81824,"GDP binding, GTPase activity, GTP binding",Ras protein signal transduction,Plasma Membrane
T1JN28,130,,Uncharacterized protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"GTPase activity, GTP binding",signal transduction,Other locations
A0A183IYC6,131,,Uncharacterized protein,Soboliphyme baturini,241478,"GTPase activity, GTP binding",signal transduction,Other locations
A0A1U7LI48,131,,GTP-binding protein rhb1,Neolecta irregularis (strain DAH-3),1198029,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A544ZVY9,131,,Uncharacterized protein,Golovinomyces magnicellulatus,62714,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A1X7VC95,132,100636489,Sec23_trunk domain-containing protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding","endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, signal transduction",Other locations
A0A3R7P8G7,132,,GTP-binding protein Di-Ras2,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"GTPase activity, GTP binding",signal transduction,Other locations
B7QA36,132,,"RAS-related protein, putative",Ixodes scapularis (Black-legged tick) (Deer tick),6945,"GDP binding, GTPase activity, GTP binding, sphingomyelin phosphodiesterase activity",signal transduction,Plasma Membrane
L8HF47,132,14924006,"Ras GTPase, putative",Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",signal transduction,Other locations
A0A1Q3EBU8,133,,Ras protein,Lentinula edodes (Shiitake mushroom) (Lentinus edodes),5353,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A3P7E5G1,133,,Uncharacterized protein,Schistocephalus solidus (Tapeworm),70667,"GTPase activity, GTP binding",signal transduction,Other locations
A0A1Y3AMD2,134,,GTP-binding protein Rheb-like protein,Euroglyphus maynei (Mayne's house dust mite),6958,"GTPase activity, GTP binding",signal transduction,Other locations
A0A444UUQ6,134,,Small monomeric GTPase,Acipenser ruthenus (Sterlet sturgeon),7906,"G protein activity, GTP binding",signal transduction,Other locations
X6MVR1,134,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",signal transduction,Other locations
A0A060S7H6,135,,Uncharacterized protein,Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina),5643,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A3P7ISV2,135,,Uncharacterized protein,Strongylus vulgaris (Blood worm),40348,"GTPase activity, GTP binding",signal transduction,Other locations
G4T9K4,135,,Related to small G-protein Ras1,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A2P6NYI3,136,,Uncharacterized protein,Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2Z6QM04,136,,Uncharacterized protein,Rhizophagus clarus,94130,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A3M7QAJ5,136,,Ras 2,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"GTPase activity, GTP binding",signal transduction,Other locations
A0A4S4LK87,136,,Uncharacterized protein,Phellinidium pouzarii,167371,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A507ECM9,136,,Uncharacterized protein,Powellomyces hirtus,109895,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A5N5SLM5,136,,GTP-binding protein Rheb,Armadillidium nasatum,96803,"GTPase activity, GTP binding","positive regulation of TOR signaling, signal transduction",Other locations
J4H2V4,136,24097090,Uncharacterized protein,Fibroporia radiculosa,599839,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
W4XQU1,136,,Uncharacterized protein,,,nan,nan,nan
A0A1Y1XXU3,137,,Uncharacterized protein,Basidiobolus meristosporus CBS 931.73,1314790,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A3P6TNE4,137,,Uncharacterized protein,Dibothriocephalus latus (Fish tapeworm) (Diphyllobothrium latum),60516,"GTPase activity, GTP binding",signal transduction,Other locations
A0A401NN40,137,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"GTPase activity, GTP binding",signal transduction,Other locations
A0A4S2JMD7,137,,Uncharacterized protein,Opisthorchis felineus,147828,"GTPase activity, GTP binding",signal transduction,Other locations
B7P3M9,137,8024122,"RAS-like protein, putative",Ixodes scapularis (Black-legged tick) (Deer tick),6945,"GDP binding, GTPase activity, GTP binding, sphingomyelin phosphodiesterase activity",Ras protein signal transduction,Plasma Membrane
A0A183SNX7,138,,Uncharacterized protein,Schistocephalus solidus (Tapeworm),70667,"GTPase activity, GTP binding",signal transduction,Other locations
A0A1Y3ANC3,138,,GTPase KRas-like protein,Euroglyphus maynei (Mayne's house dust mite),6958,"GTPase activity, GTP binding",signal transduction,Other locations
A0A397W4V3,138,,Small GTPase superfamily,Gigaspora rosea,44941,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A443RMG5,138,,GTP-binding protein Di-Ras2-like protein,Dinothrombium tinctorium,1965070,"GTPase activity, GTP binding",signal transduction,Other locations
C3YF58,138,,Uncharacterized protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"GDP binding, GTPase activity, GTP binding",signal transduction,"Plasma Membrane, Other locations"
A0A0R3PLR6,139,,Uncharacterized protein,Angiostrongylus costaricensis (Nematode worm),334426,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2J7RGU5,139,,Ras-like protein,Cryptotermes secundus,105785,"GTPase activity, GTP binding",signal transduction,Other locations
A0A0L8HS23,140,,Uncharacterized protein,Octopus bimaculoides (California two-spotted octopus),37653,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2A9NZ86,140,,Uncharacterized protein,Amanita thiersii Skay4041,703135,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A2G9TV37,140,,Ras family protein,Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta),45464,"GTPase activity, GTP binding",signal transduction,Other locations
B4QQG1,140,,Ras64B,Drosophila simulans (Fruit fly),7240,"GTPase activity, GTP binding",signal transduction,Other locations
J9JN79,140,,Uncharacterized protein,Acyrthosiphon pisum (Pea aphid),7029,"GTPase activity, GTP binding",signal transduction,Other locations
L8GQ35,140,14915346,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",signal transduction,Other locations
A0A0D8XLH2,141,,Ras family protein,Dictyocaulus viviparus (Bovine lungworm),29172,"GTPase activity, GTP binding",signal transduction,Other locations
A0A0L8H9S0,141,,Uncharacterized protein,Octopus bimaculoides (California two-spotted octopus),37653,"GTPase activity, GTP binding",signal transduction,Other locations
A0A443RAZ6,141,,Ras-related protein R-Ras2-like protein,Dinothrombium tinctorium,1965070,"GTPase activity, GTP binding",signal transduction,Other locations
A0A507ECH3,141,,Uncharacterized protein,Powellomyces hirtus,109895,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
T1EJ60,141,20196610,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"GTPase activity, GTP binding",signal transduction,Other locations
A0A016SX71,142,,Uncharacterized protein,Ancylostoma ceylanicum,53326,"GTPase activity, GTP binding",signal transduction,Other locations
A0A1E3PZK8,142,,Uncharacterized protein,Lipomyces starkeyi NRRL Y-11557,675824,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A2B4S720,142,,Ras-related and estrogen-regulated growth inhibitor,Stylophora pistillata (Smooth cauliflower coral),50429,"GTPase activity, GTP binding",signal transduction,Other locations
A0A3R7SH46,142,,Ras-like protein family member 11B,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"GTPase activity, GTP binding",signal transduction,Other locations
A0A443QM48,142,,GTP-binding protein Rheb-like protein,Dinothrombium tinctorium,1965070,"GTPase activity, GTP binding","positive regulation of TOR signaling, signal transduction",Other locations
A0A0D8XMS0,143,,Ras family protein,Dictyocaulus viviparus (Bovine lungworm),29172,"GTPase activity, GTP binding",signal transduction,Other locations
A0A443R184,143,,GTP-binding protein Rheb-like protein,Dinothrombium tinctorium,1965070,"GTPase activity, GTP binding","positive regulation of TOR signaling, signal transduction",Other locations
L8HGE6,143,14925232,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",signal transduction,Other locations
A0A158Q2V4,144,,Uncharacterized protein,Dracunculus medinensis (Guinea worm),318479,"GTPase activity, GTP binding",signal transduction,Other locations
A0A226DDH5,144,,GTP-binding protein Rhes,Folsomia candida (Springtail),158441,"GTPase activity, GTP binding",signal transduction,Other locations
A0A397JMF6,144,,Uncharacterized protein,Diversispora epigaea,1348612,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A507FMF9,144,,Uncharacterized protein,Chytriomyces confervae,246404,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A016SRE1,145,,RING-type domain-containing protein,Ancylostoma ceylanicum,53326,"GTPase activity, GTP binding, metal ion binding",signal transduction,Other locations
A0A1Q3E4P6,145,,Rheb small monomeric gtpase,Lentinula edodes (Shiitake mushroom) (Lentinus edodes),5353,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A2G9UTM3,145,,Ras family protein,Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta),45464,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2J7QNX1,145,,Uncharacterized protein,Cryptotermes secundus,105785,"GTPase activity, GTP binding",signal transduction,Other locations
T1HSP6,145,,Uncharacterized protein,Rhodnius prolixus (Triatomid bug),13249,"GTPase activity, GTP binding",signal transduction,Other locations
W2SKA1,145,25355458,Ras family protein,Necator americanus (Human hookworm),51031,"GTPase activity, GTP binding",signal transduction,Other locations
A0A0C9UU18,146,,"Unplaced genomic scaffold SPHSTscaffold_147, whole genome shotgun sequence",Sphaerobolus stellatus (strain SS14),990650,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A0D2WW85,146,,Ras like enriched,Capsaspora owczarzaki (strain ATCC 30864),595528,"GTPase activity, GTP binding",signal transduction,Other locations
A0A0N4V4R4,146,,Uncharacterized protein,Enterobius vermicularis (Human pinworm),51028,"GTPase activity, GTP binding",signal transduction,Other locations
A0A0V1G130,146,,GTP-binding protein Rheb,Trichinella pseudospiralis (Parasitic roundworm),6337,"GTPase activity, GTP binding",signal transduction,Other locations
A0A1C3YMD9,146,,Uncharacterized protein,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum),229533,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A2T7P629,146,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",signal transduction,Other locations
A7SVC6,146,5503352,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"GTPase activity, GTP binding",signal transduction,Other locations
H3G694,146,,Uncharacterized protein,Phytophthora ramorum (Sudden oak death agent),164328,"GDP binding, GTPase activity, GTP binding",small GTPase mediated signal transduction,Plasma Membrane
H9IXL6,146,,Uncharacterized protein,Bombyx mori (Silk moth),7091,"GTPase activity, GTP binding",signal transduction,Other locations
W4XMX8,146,,Uncharacterized protein,,,nan,nan,nan
A0A177B5V0,147,,GTP-binding protein Rheb,Intoshia linei,1819745,"GTPase activity, GTP binding",signal transduction,Other locations
A0A210PFP4,147,,Ras-related protein Rap-1b,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2B4S6V0,147,,Ras-related and estrogen-regulated growth inhibitor,Stylophora pistillata (Smooth cauliflower coral),50429,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2B4S7Q7,147,,Ras-related and estrogen-regulated growth inhibitor,Stylophora pistillata (Smooth cauliflower coral),50429,"GTPase activity, GTP binding",signal transduction,Other locations
A0A401PRN5,147,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"GTPase activity, GTP binding",signal transduction,Other locations
A0A401PZU3,147,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"GTPase activity, GTP binding",signal transduction,Other locations
A0A4T0FH80,147,,Uncharacterized protein,Wallemia hederae,1540922,"GTPase activity, GTP binding, guanyl-nucleotide exchange factor activity",small GTPase mediated signal transduction,Plasma Membrane
A0A0N4XGS3,148,,Uncharacterized protein,Nippostrongylus brasiliensis (Rat hookworm),27835,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2T9Z400,148,,Uncharacterized protein,Furculomyces boomerangus,61424,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A2Z6R2Y9,148,,Uncharacterized protein,Rhizophagus clarus,94130,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A7RH60,148,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"GTPase activity, GTP binding",signal transduction,Other locations
E0V9M2,148,8233777,Uncharacterized protein,Pediculus humanus subsp. corporis (Body louse),121224,"GTPase activity, GTP binding",signal transduction,Other locations
H9IYW1,148,,Uncharacterized protein,Bombyx mori (Silk moth),7091,"GTPase activity, GTP binding",signal transduction,Other locations
Q1HPH1,148,,Ras-related GTP binding protein,Bombyx mori (Silk moth),7091,"GTPase activity, GTP binding",signal transduction,Other locations
A0A137NRF5,149,,Small G-protein Ras2,Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638) (Delacroixia coronata),796925,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A267DTE3,149,,Uncharacterized protein,Macrostomum lignano,282301,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2G8JKM0,149,,Putative GTP-binding protein Rit1-like,Stichopus japonicus (Sea cucumber),307972,"GTPase activity, GTP binding",signal transduction,Other locations
A0A397VDN6,149,,P-loop containing nucleoside triphosphate hydrolase protein,Gigaspora rosea,44941,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A4X3PQ80,149,,Rheb-1,Pristionchus pacificus (Parasitic nematode),54126,"GTPase activity, GTP binding",signal transduction,Other locations
L8HGC2,149,14925194,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",signal transduction,Other locations
Q7QAR0,149,1274241,AGAP003577-PA,Anopheles gambiae (African malaria mosquito),7165,"GTPase activity, GTP binding",signal transduction,Other locations
A0A132A6U1,150,,GTP-binding protein Rhes-like protein,Sarcoptes scabiei (Itch mite) (Acarus scabiei),52283,"GTPase activity, GTP binding",signal transduction,Other locations
A0A1Q3ERF3,150,,Rap 1A,Lentinula edodes (Shiitake mushroom) (Lentinus edodes),5353,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A2G8JYG4,150,,Putative GTP-binding protein Rit1-like,Stichopus japonicus (Sea cucumber),307972,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2P8Y5R3,150,,Uncharacterized protein,Blattella germanica (German cockroach) (Blatta germanica),6973,"GTPase activity, GTP binding",signal transduction,Other locations
E9GNC1,150,,Uncharacterized protein,Daphnia pulex (Water flea),6669,"GTPase activity, GTP binding",signal transduction,Other locations
F4RLB7,150,18927502,Uncharacterized protein,Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7) (Poplar leaf rust fungus),747676,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A075AZ17,151,,Small GTPase superfamily domain-containing protein,Rozella allomycis (strain CSF55),988480,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A158NLN9,151,105621587,Uncharacterized protein,Atta cephalotes (Leafcutter ant),12957,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2P6NI74,151,,Ras-related protein Rap-2b-like,Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2T9Z527,151,,Uncharacterized protein,Furculomyces boomerangus,61424,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A3Q0KGP3,151,,Putative ral,Schistosoma mansoni (Blood fluke),6183,"GTPase activity, GTP binding",signal transduction,Other locations
A0A507FHB3,151,,Dolichol kinase,Chytriomyces confervae,246404,"dolichol kinase activity, GTPase activity, GTP binding","dolichyl monophosphate biosynthetic process, signal transduction","Endoplasmic reticulum, Plasma Membrane, Other locations"
A0A5K4F3V1,151,,Uncharacterized protein,Schistosoma mansoni (Blood fluke),6183,"GTPase activity, GTP binding",signal transduction,Other locations
A0A6A5BT93,151,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",signal transduction,Other locations
A0A6J8DIV2,151,,Uncharacterized protein,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",signal transduction,Other locations
A7S2H9,151,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"GDP binding, GTPase activity, GTP binding",Ras protein signal transduction,Plasma Membrane
E4X3V7,151,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"GTPase activity, GTP binding",signal transduction,Other locations
J4IBH8,151,24099597,Uncharacterized protein,Fibroporia radiculosa,599839,"ATP binding, GTPase activity, GTP binding, helicase activity, nucleic acid binding",signal transduction,Plasma Membrane
M7BT51,151,,Ras-related and estrogen-regulated growth inhibitor-like protein,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"GTPase activity, GTP binding",signal transduction,Other locations
T1J3P9,151,,Uncharacterized protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"GTPase activity, GTP binding",intracellular signal transduction,"Golgi apparatus, Other locations"
W4Y0H0,151,,Uncharacterized protein,,,nan,nan,nan
A0A0F4Z7W1,152,,Uncharacterized protein,Thielaviopsis punctulata,72032,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A0K6FQD0,152,,Ras-like protein,Rhizoctonia solani,456999,"GTPase activity, GTP binding",signal transduction,Plasma Membrane
A0A1J4JPV8,152,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",signal transduction,Other locations
A0A1S4EQ49,152,108253952,ras-related protein Ral-a,Diaphorina citri (Asian citrus psyllid),121845,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2B4RLN0,152,,GTPase HRas,Stylophora pistillata (Smooth cauliflower coral),50429,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2B4S581,152,,Ras-related protein Rap-2a,Stylophora pistillata (Smooth cauliflower coral),50429,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2G8JIW5,152,,Putative ras-related protein,Stichopus japonicus (Sea cucumber),307972,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2G9QKP6,152,,Uncharacterized protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2P6N3Z1,152,,"Homogentisate 1,2-dioxygenase",Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding, homogentisate 1,2-dioxygenase activity, metal ion binding","L-phenylalanine catabolic process, signal transduction, tyrosine metabolic process",Other locations
A0A2P6NZD3,152,,Uncharacterized protein,Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding",signal transduction,Other locations
A0A3S3SHN2,152,,MRAS2-like protein,Dinothrombium tinctorium,1965070,"GTPase activity, GTP binding",signal transduction,Other locations
A0A4C1U6I2,152,,Ras-related protein Rap-2a,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"GTPase activity, GTP binding",signal transduction,Other locations
C3Y512,152,,Uncharacterized protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"GDP binding, GTPase activity, GTP binding",Ras protein signal transduction,"Plasma Membrane, Other locations"
