Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
A0A5B9DAK5,114,,Ras family protein,Candidatus Prometheoarchaeum syntrophicum,2594042,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5C3QPL5,114,,Mitochondrial Rho GTPase,Pterula gracilis,1884261,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A6J8C0X1,114,,RAC1,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0C3H1,114,5018520,Uncharacterized protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
A2G6X1,114,4744746,Ras family protein,Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
B3RK41,114,6749789,Uncharacterized protein,Trichoplax adhaerens (Trichoplax reptans),10228,"GTPase activity, GTP binding, protein kinase binding",nan,"actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction",nan,"Cytoskeleton, Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
D8PX77,114,9585648,Mitochondrial Rho GTPase,Schizophyllum commune (strain H4-8 / FGSC 9210) (Split gill fungus),578458,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
V8NA40,114,,Ras-related protein Rab-44,Ophiophagus hannah (King cobra) (Naja hannah),8665,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
X6L7E6,114,,"GTP-binding protein, identical",Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
X6N4S7,114,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
X6NWA3,114,,Ras-related protein Rab-1A,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
X6PBD9,114,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
X6PDS7,114,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A078A4H6,115,,Uncharacterized protein,Stylonychia lemnae (Ciliate),5949,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0C2CL29,115,,Ras family protein,Ancylostoma duodenale,51022,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0L8FFN6,115,106883652,Uncharacterized protein,Octopus bimaculoides (California two-spotted octopus),37653,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A164WDU4,115,,Uncharacterized protein,Sistotremastrum niveocremeum HHB9708,1314777,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A183ISK0,115,,Uncharacterized protein,Soboliphyme baturini,241478,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R1PS53,115,,Ras-related protein Rab-7A,Zancudomyces culisetae (Gut fungus) (Smittium culisetae),1213189,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2B4RRG4,115,,GTP-binding protein YPTM2,Stylophora pistillata (Smooth cauliflower coral),50429,"ATP binding, GTPase activity, GTP binding, protein tyrosine kinase activity",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2I0UL95,115,,Rho-related btb domain-containing protein 2-like,Limosa lapponica baueri,1758121,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2T7PG51,115,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A444TYS2,115,,Mitochondrial Rho GTPase,Acipenser ruthenus (Sterlet sturgeon),7906,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A4P9WZU8,115,,Mitochondrial Rho GTPase,Caulochytrium protostelioides,1555241,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A507CF02,115,,Uncharacterized protein,Synchytrium microbalum,1806994,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A507E6S9,115,,Uncharacterized protein,Powellomyces hirtus,109895,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5J4NV64,115,,Peptidase A2 domain-containing protein,Paragonimus westermani,34504,"aspartic-type endopeptidase activity, GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A654GEI1,115,836726,Uncharacterized protein,Arabidopsis thaliana (Mouse-ear cress),3702,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,nan,nan
A0A6G1FVQ6,115,,Mitochondrial Rho GTPase,Eremomyces bilateralis CBS 781.70,1392243,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A9UUX0,115,5889370,Predicted protein,Monosiga brevicollis (Choanoflagellate),81824,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
F4P5Q3,115,18237440,GTPase EF-hand protein of mitochondria 1,Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus),684364,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
K5XW71,115,18830276,Mitochondrial Rho GTPase,Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392) (White button mushroom),597362,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
W4ZAJ1,115,,Uncharacterized protein,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A0A023B6B8,116,22912932,Small GTPase family Rab subfamily protein,Gregarina niphandrodes (Septate eugregarine),110365,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0B1TR58,116,,Ras family protein,Oesophagostomum dentatum (Nodular worm),61180,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0C2MH89,116,,Ras-related and estrogen-regulated growth inhibitor,Thelohanellus kitauei (Myxosporean),669202,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0C3S3R0,116,,Mitochondrial Rho GTPase,Phlebiopsis gigantea 11061_1 CR5-6,745531,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0D8Y0N5,116,,Miro-like protein,Dictyocaulus viviparus (Bovine lungworm),29172,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0M3JAH8,116,,NF-kappa-B inhibitor-interacting Ras-like protein (inferred by orthology to a C. elegans protein),Anisakis simplex (Herring worm),6269,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A168CCH2,116,,Small GTPase superfamily,Ascosphaera apis ARSEF 7405,392613,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JXE7,116,,Bromo domain-containing protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4KV69,116,,Uncharacterized protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R1PKA1,116,,GTPase EF-hand protein of mitochondria 1,Zancudomyces culisetae (Gut fungus) (Smittium culisetae),1213189,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A0A1Y3BE61,116,,Ras-related protein Ral-A-like protein,Euroglyphus maynei (Mayne's house dust mite),6958,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A226DU07,116,,"Interferon-induced, double-stranded RNA-activated protein kinase",Folsomia candida (Springtail),158441,"ATP binding, GTPase activity, GTP binding, protein kinase activity","Kinase, Transferase",nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2P6MZ06,116,,Uncharacterized protein,Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2R8Q9N0,116,,RAS like family 10 member B,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2T9Y2D1,116,,GTPase EF-hand protein of mitochondria 1,Furculomyces boomerangus,61424,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A0A388KX71,116,,Uncharacterized protein,Chara braunii (Braun's stonewort),69332,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A3P7LGG8,116,,Uncharacterized protein,Dibothriocephalus latus (Fish tapeworm) (Diphyllobothrium latum),60516,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A433TCN1,116,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4C1UXK5,116,,Dexamethasone-induced Ras-related protein 1,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A4Z2GSB9,116,,Ras-related protein Rab-44,Liparis tanakae (Tanaka's snailfish),230148,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4Z2H043,116,,Ras-related protein Rab-10,Liparis tanakae (Tanaka's snailfish),230148,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6H5J1P1,116,,Mitochondrial Rho GTPase,Trichogramma brassicae,86971,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0EDJ5,116,5046541,Uncharacterized protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding",nan,nan,nan,Endosome,nan,nan,nan,Reference proteome,nan
A2DGX7,116,5465824,Uncharacterized protein,Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
M7B8J2,116,,Ras-related protein Rab-35,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q54BW4,116,8629191,Circularly permutated Ras protein 2,Dictyostelium discoideum (Slime mold),44689,"endopeptidase inhibitor activity, GTPase activity, GTP binding",nan,"intracellular protein transport, signal transduction",nan,Other locations,nan,nan,nan,Reference proteome,nan
Q86JP5,116,8618241,Ras-related protein RabR,Dictyostelium discoideum (Slime mold),44689,"GTPase activity, GTP binding",nan,"hyperosmotic response, phagocytosis",nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
W4Z9Y1,116,,Uncharacterized protein,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
X6MRL8,116,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A078A1U5,117,,C2H2-type domain-containing protein,Stylonychia lemnae (Ciliate),5949,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A078AFL9,117,,Small rab-related gtpase,Stylonychia lemnae (Ciliate),5949,"GTPase activity, GTP binding, NAD+ kinase activity","Kinase, Transferase","NAD metabolic process, NADP biosynthetic process",nan,nan,nan,nan,nan,Reference proteome,nan
A0A0D2WRN5,117,14897696,Mitochondrial Rho GTPase,Capsaspora owczarzaki (strain ATCC 30864),595528,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0M3JTB3,117,,Uncharacterized protein,Anisakis simplex (Herring worm),6269,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0N4XTI9,117,,"Putative rab15, 13, 10, 1, 35, 5, and (inferred by orthology to a S. mansoni protein)",Nippostrongylus brasiliensis (Rat hookworm),27835,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0R3WDQ6,117,,Uncharacterized protein,Taenia asiatica (Asian tapeworm),60517,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A177B299,117,,Osteoclast-stimulating factor 1,Intoshia linei,1819745,"GTPase activator activity, GTPase activity, GTP binding",GTPase activation,positive regulation of GTPase activity,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1D2V8W6,117,30963041,"Ras-like protein family, member C",Ascoidea rubescens DSM 1968,1344418,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4K1H8,117,,GTP-binding protein ypt5,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1V9WZM9,117,,Ras-related protein Rab-21-like,Tropilaelaps mercedesae,418985,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1Y1V1N2,117,,GTPase EF-hand protein of mitochondria 1,Piromyces finnis,1754191,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A1Y3BDH4,117,,Uncharacterized protein,Euroglyphus maynei (Mayne's house dust mite),6958,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2R5G1U7,117,,Intraflagellar transport protein 22-like,Hondaea fermentalgiana,2315210,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A316VY07,117,,GTPase EF-hand protein of mitochondria 1,Ceraceosorus guamensis,1522189,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A0A397VP71,117,,Mitochondrial Rho GTPase,Gigaspora rosea,44941,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A4P9XRB0,117,,Small GTPase superfamily,Thamnocephalis sphaerospora,78915,"GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
A0A6J8BTL6,117,,Uncharacterized protein,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A2GJW9,117,4740178,Ras family protein,Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,"intracellular protein transport, intra-Golgi vesicle-mediated transport, retrograde transport, endosome to Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",nan,"Cytosol, Golgi apparatus, Other locations",nan,nan,nan,Reference proteome,nan
E0VQI6,117,8237170,"Rab23, putative",Pediculus humanus subsp. corporis (Body louse),121224,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
F2UH99,117,16071972,EF-hand domain-containing protein,Salpingoeca rosetta (strain ATCC 50818 / BSB-021),946362,"calcium ion binding, GTPase activity, GTP binding",nan,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
F4PEL2,117,18241586,Uncharacterized protein,Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus),684364,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
I1L4P2,117,100813911,Uncharacterized protein,Glycine max (Soybean) (Glycine hispida),3847,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
L8H8Z6,117,14921803,EF hand domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"calcium ion binding, GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
M7NLZ2,117,19897073,Mitochondrial Rho GTPase,Pneumocystis murina (strain B123) (Mouse pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. muris),1069680,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"heme transport, mitochondrion-endoplasmic reticulum membrane tethering, mitochondrion inheritance, phospholipid homeostasis, regulation of mitochondrion organization",nan,"Endoplasmic reticulum, Mitochondrion",nan,nan,nan,Reference proteome,nan
Q18957,117,183928,Uncharacterized protein,Caenorhabditis elegans,6239,"GDP binding, GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
