Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
D8T9D8,124,,"Rop2, RHO family GTPase",Selaginella moellendorffii (Spikemoss),88036,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
G0QN14,128,14909569,"Ras-related c3 botulinum toxin substrate 1, putative",Ichthyophthirius multifiliis (strain G5) (White spot disease agent) (Ich),857967,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0B2UZC8,129,,Ras-like GTP-binding protein rhoA,Toxocara canis (Canine roundworm),6265,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A444UIE1,129,,Cell division control protein 42-like,Acipenser ruthenus (Sterlet sturgeon),7906,"GTPase activity, GTP binding","cell division, small GTPase mediated signal transduction",nan
A0A4E0QYI7,129,,Guanine nucleotide-binding protein Rho,Fasciola hepatica (Liver fluke),6192,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
E2LLT0,129,,Uncharacterized protein,Moniliophthora perniciosa (strain FA553 / isolate CP02) (Witches'-broom disease fungus) (Marasmius perniciosus),554373,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
T1H320,129,,Uncharacterized protein,Megaselia scalaris (Humpbacked fly) (Phora scalaris),36166,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1E3PQT7,130,,Uncharacterized protein,Nadsonia fulvescens var. elongata DSM 6958,857566,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A2T7PA73,130,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A5S6PPP7,130,,"Bm5286, isoform a; Bm5287, isoform a",Brugia malayi (Filarial nematode worm),6279,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
C3YFS3,130,,Uncharacterized protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cell migration, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
X6NRG5,130,,RAC GTPase,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A433P5P9,131,,P-loop containing nucleoside triphosphate hydrolase protein,Endogone sp. FLAS-F59071,2340872,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A444V6Q1,131,,Rho-related GTP-binding protein RhoV,Acipenser ruthenus (Sterlet sturgeon),7906,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4Z2I7L4,131,,Rho-related GTP-binding protein RhoF,Liparis tanakae (Tanaka's snailfish),230148,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0R3WH57,132,,Uncharacterized protein,Taenia asiatica (Asian tapeworm),60517,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
S4RTN9,132,,Ras homolog family member U,Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A2P8YDR0,133,,Rho-related GTP-binding protein RhoU,Blattella germanica (German cockroach) (Blatta germanica),6973,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A425BRE8,133,,Uncharacterized protein,Scytalidium sp. 3C,2487125,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
T1H4M0,133,,Uncharacterized protein,Megaselia scalaris (Humpbacked fly) (Phora scalaris),36166,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0B2UZI2,134,,Ras-related C3 botulinum toxin substrate 1,Toxocara canis (Canine roundworm),6265,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A5J4NGG6,134,,"Ras protein family, member A",Paragonimus westermani,34504,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
S4RYB6,134,,Ras homolog family member U,Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
C3ZLT6,135,,BTB domain-containing protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
A0A397V681,137,,P-loop containing nucleoside triphosphate hydrolase protein,Gigaspora rosea,44941,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4S4LB37,137,,Uncharacterized protein,Phellinidium pouzarii,167371,"GTPase activity, GTP binding, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",small GTPase mediated signal transduction,nan
A0A4Z0A2C4,137,,Uncharacterized protein,Hericium alpestre,135208,"ATPase activity, ATP binding, DNA binding, GTPase activity, GTP binding, metal ion binding","DNA repair, DNA replication, small GTPase mediated signal transduction",nan
M7NQG9,137,19895984,Uncharacterized protein,Pneumocystis murina (strain B123) (Mouse pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. muris),1069680,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A2T7NWQ1,138,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A067MD74,139,,Uncharacterized protein,Botryobasidium botryosum FD-172 SS1,930990,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4Z0A780,139,,Uncharacterized protein,Hericium alpestre,135208,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A060SQI0,140,,Uncharacterized protein,Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina),5643,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1R0GRZ7,140,,Cell division control protein 42-like protein,Smittium mucronatum,133383,"GTPase activity, GTP binding","cell division, small GTPase mediated signal transduction",nan
A0A1R1PFG2,140,,Cell division control protein 42,Zancudomyces culisetae (Gut fungus) (Smittium culisetae),1213189,"GTPase activity, GTP binding","cell division, small GTPase mediated signal transduction",nan
A0A2G8KRP0,140,,Cdc42,Stichopus japonicus (Sea cucumber),307972,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A2G9UJH2,140,,Ras family protein,Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta),45464,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A425BQN7,140,,Uncharacterized protein,Scytalidium sp. 3C,2487125,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A5J4NPQ0,140,,Ras-related C3 botulinum toxin substrate 1,Paragonimus westermani,34504,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0D2WWW7,141,,Rho GTPase,Capsaspora owczarzaki (strain ATCC 30864),595528,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
D4AMM4,141,9524069,Uncharacterized protein,Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes),663331,"GTPase activity, GTP binding","establishment or maintenance of actin cytoskeleton polarity, negative regulation of glucose mediated signaling pathway, regulation of fungal-type cell wall (1->3)-alpha-glucan biosynthetic process, small GTPase mediated signal transduction",Other locations
A0A0C2WC19,142,,Uncharacterized protein,Amanita muscaria Koide BX008,946122,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
C8VAN6,142,,Uncharacterized protein,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),227321,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cortical cytoskeleton organization, establishment or maintenance of actin cytoskeleton polarity, establishment or maintenance of cell polarity, positive regulation of exocytosis, positive regulation of formin-nucleated actin cable assembly, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Cytosol, Plasma Membrane, Other locations"
R4XJ07,142,,Uncharacterized protein,Taphrina deformans (strain PYCC 5710 / ATCC 11124 / CBS 356.35 / IMI 108563 / JCM 9778 / NBRC 8474) (Peach leaf curl fungus) (Lalaria deformans),1097556,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
W4YQM1,142,,Uncharacterized protein,,,nan,nan,nan
A0A2B4RHZ5,143,,Ras-related C3 botulinum toxin substrate 1,Stylophora pistillata (Smooth cauliflower coral),50429,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A131ZWG2,144,,Rho GTPase-like protein 2,Sarcoptes scabiei (Itch mite) (Acarus scabiei),52283,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A369GI88,144,,Uncharacterized protein,Ophiocordyceps camponoti-leonardi (nom. inval.),2039875,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
K1P2D0,144,,Ras-like GTP-binding protein Rho1,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A653BJW4,145,,Uncharacterized protein,Callosobruchus maculatus (Southern cowpea weevil) (Pulse bruchid),64391,"GTPase activity, GTP binding",nan,nan
S4REU6,145,,Ras homolog family member J,Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1V9XJD5,146,,Cell division control protein 42-like,Tropilaelaps mercedesae,418985,"GTPase activity, GTP binding","cell division, small GTPase mediated signal transduction",nan
A0A2P4SDW2,146,,Uncharacterized protein,Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica),9083,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4U0VTQ5,146,,GTP-binding protein rho2,Cryomyces minteri,331657,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
M7BN05,146,,Rho-related GTP-binding protein RhoF,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A016X0D8,147,,Uncharacterized protein,Ancylostoma ceylanicum,53326,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0R3PTV7,147,,Uncharacterized protein,Angiostrongylus costaricensis (Nematode worm),334426,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A3P7MMJ9,147,,Uncharacterized protein,Dibothriocephalus latus (Fish tapeworm) (Diphyllobothrium latum),60516,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4U0WP44,147,,Uncharacterized protein,Cryomyces minteri,331657,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
S4RKQ5,147,,Rho family GTPase 3a,Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4S4KZ15,148,,Uncharacterized protein,Phellinidium pouzarii,167371,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4U5MCD4,148,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A507C383,148,,Uncharacterized protein,Synchytrium microbalum,1806994,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
G4TYH2,148,,Probable GTPase Rho1,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A163LWL6,149,,Uncharacterized protein,Absidia glauca (Pin mould),4829,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A168S0G0,149,,Uncharacterized protein,Absidia glauca (Pin mould),4829,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A3P8IYM2,150,,Uncharacterized protein,Trichobilharzia regenti (Nasal bird schistosome),157069,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A6H5IJA3,150,,DC_STAMP domain-containing protein,Trichogramma brassicae,86971,"GTPase activity, GTP binding",small GTPase mediated signal transduction,Other locations
A0A078A9W7,151,,Ras-related c3 botulinum toxin substrate 2,Stylonychia lemnae (Ciliate),5949,"calcium ion binding, GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
L8H2N0,151,14919374,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0L0DVB6,152,25561481,Rac1 GTP binding protein,Thecamonas trahens ATCC 50062,461836,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1U7LRZ0,152,,GTP-binding protein rho2,Neolecta irregularis (strain DAH-3),1198029,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A653D3Z2,152,,Uncharacterized protein,Callosobruchus maculatus (Southern cowpea weevil) (Pulse bruchid),64391,"GTPase activity, GTP binding",nan,nan
M7BEG6,152,,Transforming protein RhoA,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
T1EGW3,152,20195813,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"GTPase activity, GTP binding","Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis",nan
V8NE16,152,,Cell division control protein 42-like protein,Ophiophagus hannah (King cobra) (Naja hannah),8665,"GTPase activity, GTP binding","cell division, small GTPase mediated signal transduction",nan
A0A2T7PG09,153,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",nan,nan
L8GJR0,153,14913233,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
R7Z0J4,153,19904121,"Rho family, other",Coniosporium apollinis (strain CBS 100218) (Rock-inhabiting black yeast),1168221,"GTPase activity, GTP binding","establishment or maintenance of actin cytoskeleton polarity, positive regulation of exocytosis, positive regulation of formin-nucleated actin cable assembly, small GTPase mediated signal transduction","Cytosol, Other locations"
A0A2P6NTA7,154,,Ras-related C3 botulinum toxin substrate 1-like,Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A507BW16,155,,Uncharacterized protein,Synchytrium microbalum,1806994,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A545A0K1,155,,Uncharacterized protein,Golovinomyces magnicellulatus,62714,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A553P3A1,155,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0DD84,155,5034183,Uncharacterized protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
L8GVA6,155,14918464,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
M7NTV4,155,19894551,GTP-binding protein rho3,Pneumocystis murina (strain B123) (Mouse pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. muris),1069680,"GTPase activity, GTP binding","actin cytoskeleton organization, establishment or maintenance of cell polarity regulating cell shape, microtubule cytoskeleton organization, regulation of septum digestion after cytokinesis, small GTPase mediated signal transduction","Plasma Membrane, Other locations"
A0A163JAC9,156,,Uncharacterized protein,Absidia glauca (Pin mould),4829,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1D2MX01,156,,Ras-like GTP-binding protein RHO,Orchesella cincta (Springtail),48709,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1Y1VMK5,156,,Uncharacterized protein,Piromyces finnis,1754191,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A507FB84,156,,Uncharacterized protein,Chytriomyces confervae,246404,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
K1QVL5,156,105328477,Cdc42-like protein,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"GTPase activity, GTP binding",signal transduction,Other locations
T1JC28,156,,Uncharacterized protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
X6LTM2,156,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
D6W9H0,157,660921,Cdc42 homolog-like Protein,Tribolium castaneum (Red flour beetle),7070,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A3R7PN24,158,,Putative ras-like GTP-binding protein RhoL,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4X3PJW6,158,,Chw-1,Pristionchus pacificus (Parasitic nematode),54126,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0C154,158,5017700,Uncharacterized protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
L8GGR5,158,14912463,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding, ubiquitin-protein transferase activity",small GTPase mediated signal transduction,nan
L8GTU6,158,14916261,Ras family protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
Q3SDU0,158,5016079,Rab_C90 protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding",nan,nan
Q5A904,158,3640238,Rho family GTPase,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),237561,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, septum digestion after cytokinesis, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
Q8SVZ2,158,858826,Similarity to RAS-RELATED CELL DIVISION PROTEIN 42,Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite),284813,"GTPase activity, GTP binding",cell division,nan
A0A0D2WSB0,159,14897436,Rac1 protein,Capsaspora owczarzaki (strain ATCC 30864),595528,"GTPase activity, GTP binding",small GTPase mediated signal transduction,Other locations
A0A165FU23,159,,Small GTPase Rho3/GTP-binding protein Rho3,Exidia glandulosa HHB12029,1314781,"GTPase activity, GTP binding","actin cytoskeleton organization, establishment or maintenance of cell polarity regulating cell shape, microtubule cytoskeleton organization, regulation of septum digestion after cytokinesis, small GTPase mediated signal transduction","Plasma Membrane, Other locations"
A0A183VXL7,159,,Uncharacterized protein,Trichobilharzia regenti (Nasal bird schistosome),157069,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1U7LTH2,159,,GTP-binding protein rho3,Neolecta irregularis (strain DAH-3),1198029,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A5J4N493,159,,Cell division control protein 42,Paragonimus westermani,34504,"GTPase activity, GTP binding","cell division, small GTPase mediated signal transduction",nan
C3ZLT5,159,,Uncharacterized protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
D4AZE7,159,9519543,Uncharacterized protein,Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes),663331,"GTPase activity, GTP binding",small GTPase mediated signal transduction,Other locations
E4WUS4,159,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
K1PS35,159,,Cell division control protein 42,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"GTPase activity, GTP binding","cell division, small GTPase mediated signal transduction",nan
K1R592,159,,Rho-related GTP-binding protein RhoQ,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"GTPase activity, GTP binding",signal transduction,Other locations
L8GXF9,159,14918512,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
S7W923,159,,Ras GTPase,Spraguea lophii (strain 42_110) (Microsporidian parasite),1358809,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A139A1D1,160,,Cell division control protein 42 homolog,Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera),1344416,"G protein activity, GTP binding",small GTPase mediated signal transduction,Plasma Membrane
A0A1J1I0G7,160,,Protein C10,Clunio marinus,568069,"GTPase activity, GTP binding",nan,Other locations
A0A3M7PN07,160,,Cell division control,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"GTPase activity, GTP binding","cell division, small GTPase mediated signal transduction",nan
A0A3S0ZS09,160,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A2EJI6,160,4765039,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
F0YGA3,160,20220837,Uncharacterized protein,Aureococcus anophagefferens (Harmful bloom alga),44056,"GTPase activity, GTP binding",nan,nan
Q19739,160,184848,CHp/Wrch Rho-like protein homolog,Caenorhabditis elegans,6239,"GTPase activity, GTP binding","Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis, establishment or maintenance of cell polarity, vulval development",nan
S7WAG2,160,,GTP-binding protein rho1,Spraguea lophii (strain 42_110) (Microsporidian parasite),1358809,"GTPase activity, GTP binding",nan,nan
A0A0C2S0A8,161,,Uncharacterized protein,Amanita muscaria Koide BX008,946122,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0N9HGZ5,161,,Rho GTPase,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
